,EUR.USD.SPOT,EUR.USD.SPOT,USD.JPY.SPOT,USD.JPY.SPOT,USD.CAD.SPOT,USD.CAD.SPOT,AUD.USD.SPOT,AUD.USD.SPOT,GBP.USD.SPOT,GBP.USD.SPOT,NZD.USD.SPOT,NZD.USD.SPOT,USD.MXN.SPOT,USD.MXN.SPOT,EUR.NOK.SPOT,EUR.NOK.SPOT,EUR.SEK.SPOT,EUR.SEK.SPOT,USD.TRY.SPOT,USD.TRY.SPOT
,bidprice1,askprice1,bidprice1,askprice1,bidprice1,askprice1,bidprice1,askprice1,bidprice1,askprice1,bidprice1,askprice1,bidprice1,askprice1,bidprice1,askprice1,bidprice1,askprice1,bidprice1,askprice1
time_utc,,,,,,,,,,,,,,,,,,,,
2022-01-02,1.13727,1.1373,115.141,115.148,1.26593,1.26602,0.72673,0.7268,1.3521,1.35223,0.68386,0.68402,20.4861,20.4928,10.0028,10.0061,10.2861,10.2913,13.37,13.5495
2022-01-03,1.13017,1.13022,115.33,115.335,1.27513,1.27525,0.71953,0.71961,1.34818,1.34833,0.67879,0.67892,20.4946,20.5044,10.0183,10.0339,10.2862,10.3014,12.9605,13.15
2022-01-04,1.12828,1.12832,116.172,116.179,1.2705,1.27058,0.72384,0.72392,1.35295,1.35312,0.68121,0.68131,20.53096,20.5415,9.9976,10.0079,10.2602,10.2724,13.36,13.47
2022-01-05,1.13104,1.13109,116.121,116.127,1.276,1.27608,0.72206,0.72213,1.3554,1.35554,0.67918,0.67931,20.5747,20.5857,10.0036,10.0206,10.3012,10.315,13.68,13.71016
2022-01-06,1.12947,1.12951,115.863,115.87,1.27303,1.27312,0.7162,0.71627,1.35321,1.35338,0.67388,0.67403,20.5036,20.5146,10.037,10.0535,10.3252,10.3399,13.6505,13.9
2022-01-07,1.13585,1.1363,115.515,115.605,1.26355,1.26485,0.71785,0.71825,1.35765,1.35975,0.67705,0.67885,20.4,20.439,10.0275,10.048,10.277,10.2945,13.82,13.929
2022-01-09,1.13532,1.13537,115.62,115.623,1.26472,1.26481,0.71782,0.71791,1.35908,1.35922,0.67747,0.67758,20.3903,20.3978,10.0274,10.045,10.2788,10.289,13.775,13.98
2022-01-10,1.13299,1.13304,115.277,115.283,1.26656,1.26665,0.71796,0.71804,1.3579,1.35805,0.67652,0.67663,20.3683,20.3744,10.0316,10.0475,10.307,10.3169,13.78,13.8785
2022-01-11,1.13658,1.13662,115.332,115.338,1.25775,1.25781,0.72095,0.721,1.3632,1.36332,0.67825,0.67836,20.3917,20.3961,9.965,9.9795,10.2657,10.2774,13.7895,13.84
